Group,Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100
CONTROL,58.0,1034.38,1095.29,1259.76,923.17,969.23,1087.82,888.27,917.62,1105.49,1142.9,955.49,915.55,1000.58,899.88,1028.22,1240.25,958.22,964.71,991.84,694.49,961.19,1051.15,1027.06,1061.77,1150.95,987.4,980.71,1042.79,1070.86,966.02,1057.31,959.12,902.95,1159.01,807.37,1113.79,927.23,992.04,1192.22,940.28,1086.37,879.96,1054.06,1001.46,935.84,1041.85,1074.14,1199.58,931.96,1125.35,1058.34,978.27,1154.8,1171.02,1068.74,1001.09,901.96,1046.45,1038.74,1041.34,971.87,866.9,939.38,995.27,832.91,1167.09,995.22,1056.48,859.77,944.41,816.63,983.54,1113.15,965.93,1105.18,842.15,1072.39,1202.73,1108.36,914.44,1200.22,1107.86,1229.79,849.73,1090.44,1126.25,1056.6,1048.04,991.56,1028.17,1048.12,1026.46,1242.31,1111.55,1156.9,1049.95,878.53,926.83,1254.34,1008.58
CONTROL,58.1,1061.4,1097.3,1244.38,938.0,936.05,1089.76,820.33,899.86,1053.46,1157.12,950.52,905.75,977.07,944.1,1047.14,1224.02,976.04,942.89,937.74,721.03,967.06,1040.55,1002.96,1058.94,1216.31,998.57,971.61,1024.87,1061.6,998.47,1059.09,939.07,868.67,1186.48,803.13,1113.08,908.43,952.26,1218.82,944.12,1106.14,910.11,1054.84,966.69,946.69,1075.75,1079.48,1192.79,891.3,1136.14,1073.96,982.37,1123.3,1122.81,1102.4,1022.01,949.03,1013.48,957.31,1032.61,975.26,921.09,948.91,972.63,838.31,1141.24,1012.24,1089.28,868.61,984.05,803.2,954.97,1098.42,976.58,1146.55,818.47,1057.21,1180.99,1137.21,955.92,1230.39,1096.35,1212.29,868.28,1125.29,1085.18,961.11,1096.51,1016.05,1051.39,1050.39,1088.96,1224.6,1082.76,1183.77,1074.64,861.76,931.18,1324.21,1038.46
CONTROL,58.2,1035.64,1079.85,1270.81,967.9,983.55,1089.19,862.18,871.22,1058.46,1156.64,938.84,875.66,974.67,950.82,1033.87,1218.07,899.38,977.05,995.93,743.07,901.63,1031.14,1042.86,1076.9,1191.53,990.42,994.66,1045.25,1059.59,956.15,1255.99,976.75,864.21,1180.35,805.18,1140.73,937.46,982.4,1207.74,921.26,1083.57,930.02,1036.24,959.89,935.6,1026.36,1063.54,1264.72,942.8,1113.95,1073.42,970.99,1162.68,1154.97,1118.47,1034.56,953.06,998.0,998.98,1015.99,954.28,907.54,893.11,1011.23,851.79,1131.4,980.9,1078.9,834.91,980.0,802.25,949.9,1105.94,939.16,1068.12,825.18,1054.71,1186.27,1088.53,936.34,1174.05,1086.0,1261.39,863.93,1095.81,1075.72,1053.75,1124.59,1000.98,1019.83,980.24,1053.7,1222.03,1096.83,1121.83,1081.51,847.45,924.23,1255.26,1019.87
CONTROL,58.3,1026.8,1084.84,1198.77,963.09,993.26,1133.95,893.37,874.6,1083.8,1124.55,967.54,926.17,969.34,902.18,1039.35,1267.13,921.43,990.88,947.92,726.53,924.08,1010.08,1048.91,1081.09,1134.31,981.37,980.7,1028.69,1050.92,928.61,1292.9,985.57,878.43,1120.7,794.49,1166.68,955.86,1010.0,1210.17,982.74,1070.43,926.79,1032.86,929.65,961.8,1076.27,1076.06,1231.52,908.55,1165.96,1067.04,954.39,1182.23,1171.02,1136.69,1025.64,954.98,1025.79,1023.12,1047.6,998.25,936.69,901.26,992.32,797.2,1122.34,983.5,1048.12,835.91,1002.44,811.16,928.43,1090.0,956.39,1131.38,833.49,1040.29,1194.47,1079.26,917.26,1167.29,1145.78,1218.66,854.99,1125.34,1111.0,1019.11,1118.62,1125.82,1051.19,1020.38,1091.6,1233.33,1153.37,1200.0,1039.38,888.17,936.71,1280.45,1018.19
CONTROL,58.4,1059.21,1069.74,1265.38,976.63,973.29,1105.81,887.34,875.42,1046.16,1127.44,966.63,899.7,1039.17,939.9,1080.45,1235.83,957.68,978.03,983.45,700.68,888.54,1014.56,1018.3,1044.61,1177.72,995.49,991.58,1032.04,1088.84,933.51,1260.46,967.35,876.95,1160.8,820.58,1117.02,954.22,980.77,1204.72,925.19,1063.09,940.18,1037.74,959.68,932.86,1067.69,1037.8,1219.14,937.78,1138.45,1066.32,980.97,1171.85,1189.87,1097.0,1015.51,966.57,1024.01,990.43,1045.0,979.97,900.76,914.64,1007.66,825.3,1088.75,1017.75,1099.55,882.26,988.75,830.17,955.37,1089.95,930.8,1137.54,840.33,1078.2,1174.79,1082.16,959.69,1178.93,1130.25,1259.3,864.13,1109.24,1049.33,1039.73,1101.36,1197.12,1031.61,1027.62,1058.9,1228.78,1139.96,1159.32,1049.5,860.61,920.88,1265.1,1036.01
CONTROL,58.5,1022.42,1040.91,1239.25,931.49,941.58,1102.73,869.2,883.33,1117.61,1168.23,971.91,888.87,972.95,915.08,1048.82,1232.56,979.04,988.92,961.82,733.61,925.18,1036.12,1015.96,1073.19,1228.73,990.95,971.2,1062.82,1070.93,990.4,1252.9,962.67,892.92,1191.63,776.81,1140.18,935.64,972.82,1156.21,883.17,1035.21,918.11,1063.43,944.14,946.66,1105.59,1098.82,1203.91,923.83,1132.23,1069.64,967.19,1148.49,1219.15,1072.84,1022.78,947.17,1001.7,1029.41,1033.53,980.86,893.0,910.66,954.71,840.23,1104.11,947.94,1049.6,858.95,967.0,799.53,939.57,1117.47,951.56,1111.06,795.16,1073.32,1169.08,1102.86,959.45,1166.17,1084.06,1246.3,834.53,1155.45,1090.36,1030.83,1068.54,1175.65,1080.03,1026.2,1062.84,1217.95,1141.19,1126.6,1029.09,853.74,906.54,1229.93,1032.26
CONTROL,58.6,984.62,1052.24,1234.72,950.33,964.23,1115.13,843.96,868.0,1105.16,1139.72,931.2,911.1,959.08,936.37,1037.02,1192.67,956.02,972.44,972.33,712.31,894.6,1059.01,1027.0,1044.48,1206.34,1012.87,960.27,1035.96,1073.33,965.69,1239.42,960.79,897.12,1168.71,813.38,1110.22,921.66,958.84,1192.89,899.79,1056.82,881.28,1009.95,970.45,941.97,1054.99,1076.08,1231.11,863.32,1148.4,1055.32,983.52,1150.49,1146.85,1100.95,1011.04,918.36,1019.08,990.99,1039.61,943.23,939.87,938.79,950.8,828.73,1085.98,987.12,1057.88,872.69,974.91,826.75,922.63,1049.16,943.21,1123.63,859.01,1075.06,1161.16,1079.94,959.14,1156.5,1111.48,1247.79,860.23,1123.19,1085.72,1040.21,1094.53,1134.04,1023.06,1027.48,1063.45,1201.24,1133.68,1170.87,1052.05,852.63,925.32,1295.54,1007.19
CONTROL,58.7,1019.39,1040.12,1221.08,966.29,1004.01,1085.34,843.51,873.21,1062.13,1111.8,913.3,882.52,1000.24,937.0,1052.49,1247.89,972.94,987.84,988.76,714.6,895.26,1038.69,1075.53,1076.2,1156.89,950.36,952.29,1080.74,1062.72,1191.47,1220.56,989.39,914.97,1185.32,798.93,1119.35,947.05,984.37,1233.92,928.59,1055.5,910.45,1028.61,971.5,933.19,1071.67,1054.68,1252.82,897.61,1123.29,1065.89,991.7,1160.48,1172.38,1081.63,1029.98,930.38,962.38,992.63,1027.06,941.02,916.07,948.49,1003.04,850.6,1086.03,989.47,1094.19,850.61,980.19,834.45,923.31,1073.85,925.38,1093.7,831.74,1035.62,1176.89,1101.71,942.46,1160.33,1100.07,1217.53,864.08,1127.88,1063.79,1056.84,1072.0,1115.64,1023.03,1002.95,1072.6,1215.21,1123.26,1142.99,1026.38,881.59,926.13,1247.96,1027.31
CONTROL,58.8,1043.43,1000.28,1236.78,954.84,993.94,1118.24,845.26,879.69,1063.06,1143.3,952.82,912.85,1001.89,918.61,1026.74,1254.71,957.32,1000.89,1015.14,723.72,897.57,1068.98,1053.96,1018.96,1159.37,982.97,991.91,1038.0,1066.38,1169.51,1179.68,966.95,898.22,1193.67,788.09,1164.69,965.38,959.7,1183.14,921.84,1016.64,931.66,1022.08,979.26,950.04,1050.77,1063.75,1225.1,929.37,1165.61,1112.01,969.18,1155.28,1138.16,1086.2,1001.13,975.84,1018.66,1006.54,1025.06,949.85,883.31,951.56,960.52,841.2,1098.63,986.42,1029.83,871.24,925.45,795.47,925.8,1049.7,936.28,1064.18,783.56,1074.49,1162.37,1102.36,957.93,1095.66,1094.2,1191.85,841.64,1123.44,1060.69,1018.54,1059.76,1132.81,1024.86,1015.77,1049.58,1226.65,1119.64,1143.42,1069.69,855.61,929.91,1216.01,1056.52
CONTROL,58.9,977.31,1024.35,1248.23,960.42,972.23,1101.55,882.79,871.11,1073.91,1175.71,933.84,920.22,1030.37,928.77,1048.72,1267.02,946.88,983.62,994.99,708.84,905.42,1031.03,1015.62,1046.06,1142.05,962.71,951.04,1046.33,1092.56,1217.23,1177.21,974.33,904.84,1133.19,763.5,1136.92,940.97,945.4,1217.92,964.4,1052.49,907.85,1043.98,935.62,936.6,1071.16,1092.2,1175.22,924.24,1117.06,1117.1,955.61,1147.39,1169.03,1095.73,1029.3,958.91,990.28,949.61,1037.58,987.76,865.7,944.46,967.07,817.48,1114.67,1008.07,1066.13,833.61,1000.31,817.7,954.24,1064.09,946.69,1083.88,807.87,1089.22,1186.96,1030.25,930.88,1126.98,1067.65,1317.51,840.33,1143.3,1076.0,1015.23,1076.77,1091.2,1048.15,964.9,1046.81,1202.28,1132.07,1171.87,1089.46,874.48,936.26,1273.98,1042.53
CONTROL,59.0,1034.03,1042.9,1220.63,968.82,948.43,1079.93,857.5,867.54,1088.84,1138.37,974.23,875.57,983.32,920.19,1036.13,1246.52,916.53,994.32,964.61,693.31,874.73,1036.76,1060.61,1056.79,1199.92,981.69,950.84,1076.17,1061.75,1139.7,1185.82,972.12,903.02,1209.26,782.79,1140.22,940.01,973.56,1225.1,973.52,1050.91,929.59,1097.71,1005.97,918.67,1055.64,1100.33,1218.07,913.61,1114.43,1089.09,946.8,1186.9,1191.12,1098.01,997.83,953.77,1038.22,978.39,1032.9,962.47,918.58,935.17,1002.15,820.39,1076.28,988.07,1068.6,845.18,965.91,813.43,979.82,1111.25,968.42,1126.29,791.95,1062.72,1198.79,1075.16,929.19,1091.59,1093.02,1253.8,851.42,1148.62,1089.76,1044.79,1090.21,1122.3,1063.74,1022.78,1057.32,1236.19,1113.59,1172.53,1089.43,828.92,911.87,1271.85,1018.24
CONTROL,59.1,1034.55,997.63,1213.56,960.81,1003.17,1093.62,844.67,838.59,1120.2,1110.8,984.05,927.1,1029.03,948.48,1056.25,1179.58,947.24,992.18,983.95,725.55,903.69,1040.79,986.6,1050.44,1185.33,986.43,993.4,1072.33,1103.91,1135.9,1136.88,986.45,911.04,1173.0,803.69,1146.7,888.05,981.83,1174.22,932.58,1019.84,909.13,1037.8,970.57,940.94,1055.94,1093.85,1176.03,899.36,1125.85,1095.26,962.55,1165.51,1173.93,1087.34,1029.23,939.4,1022.05,1034.49,1059.33,923.25,916.7,947.37,980.05,840.78,1103.53,1004.74,1050.05,862.77,977.79,811.36,954.07,1064.24,961.58,1106.74,813.98,1063.75,1185.65,1100.38,945.1,1101.81,1144.62,1207.88,875.18,1121.36,1062.71,1021.48,1078.66,1053.54,1049.72,1030.07,1080.5,1230.52,1116.02,1168.88,1087.66,865.17,910.29,1263.56,1010.49
CONTROL,59.2,1011.76,1032.29,1247.73,941.84,992.63,1104.81,841.69,850.19,1092.0,1170.87,960.08,916.86,1021.65,959.87,1045.93,1196.3,959.19,973.88,1013.01,703.0,878.55,1020.27,1019.26,1078.34,1201.31,993.85,930.88,1042.88,1070.48,1139.9,1095.32,946.03,903.06,1181.58,790.7,1130.4,921.62,946.55,1187.07,939.36,1022.57,915.91,1018.87,968.69,930.15,1067.46,1056.21,1196.32,947.97,1100.19,1063.99,978.3,1155.43,1155.38,1088.57,1057.17,929.6,986.48,1017.02,1007.77,991.81,922.37,935.88,976.06,825.0,1093.25,1013.4,1071.39,865.07,989.89,798.68,951.28,1121.29,929.29,1131.0,813.72,1042.28,1153.04,1102.07,941.23,1091.86,1081.65,1224.03,864.52,1162.42,1119.0,1036.73,1061.36,1053.62,1081.28,997.79,1112.34,1228.79,1079.98,1159.37,1064.94,858.52,936.62,1228.41,1012.5
CONTROL,59.3,1010.59,1020.96,1275.31,927.42,953.24,1099.96,844.56,906.27,1070.4,1134.19,946.09,921.89,1009.86,963.02,1030.32,1189.16,937.49,1001.37,998.86,706.29,874.24,1057.56,1037.38,1067.11,1215.38,994.57,1009.55,1060.11,1083.46,1116.84,1087.97,1017.4,887.01,1175.97,784.59,1136.4,946.09,980.34,1222.04,938.95,1038.99,921.85,1066.33,1026.18,968.94,1077.77,1080.33,1250.22,925.21,1091.95,1129.59,1001.23,1187.67,1180.6,1132.69,1015.11,933.65,973.07,992.23,1052.87,932.85,910.81,909.43,971.59,834.35,1042.88,974.02,1047.74,867.27,984.49,793.77,939.46,1077.07,929.94,1107.57,818.1,1085.12,1176.41,1100.42,933.01,1074.04,1114.99,1282.76,849.52,1165.74,1061.06,1044.88,1089.71,1103.08,1040.66,1029.68,1065.97,1211.94,1109.7,1168.84,1080.1,871.39,928.35,1303.54,1030.33
CONTROL,59.4,1031.84,1007.5,1265.71,949.24,982.69,1127.46,868.53,867.28,1058.27,1099.92,920.54,880.97,974.06,946.81,1045.52,1179.15,942.63,987.87,1052.28,697.15,873.46,1024.01,1040.98,1029.47,1171.03,997.99,972.97,1039.42,1078.26,1090.48,1062.78,970.48,865.08,1209.41,797.51,1118.53,906.74,967.69,1208.29,905.05,1061.62,920.19,1045.4,979.74,927.62,1076.12,1063.17,1225.15,899.35,1107.47,1084.58,990.98,1185.3,1172.23,1062.53,1036.96,950.39,1002.84,1011.13,1016.15,950.79,917.76,927.04,1030.68,823.71,1065.85,970.41,1066.78,897.73,952.91,798.2,951.43,1092.38,955.81,1118.41,844.04,1054.06,1136.63,1100.97,955.05,1117.85,1102.57,1232.57,845.64,1172.73,1120.36,1003.92,1056.1,1068.47,1042.05,1007.22,1100.06,1228.38,1113.19,1133.93,1108.73,837.62,937.55,1199.35,1043.57
CONTROL,59.5,1030.07,1010.05,1264.95,938.96,988.64,1119.37,850.9,873.68,1082.84,1156.15,958.95,925.27,1035.09,926.29,1020.81,1229.46,935.0,961.93,998.38,712.7,864.3,1060.08,1009.71,1101.91,1179.81,1001.01,943.59,1042.73,1121.54,1110.28,1085.83,990.03,903.06,1197.47,766.89,1129.66,906.66,958.41,1185.2,912.44,1062.74,898.62,1051.09,1000.97,944.95,1057.11,1079.4,1261.96,928.02,1104.95,1040.6,975.08,1170.76,1158.21,1094.57,1034.27,960.05,1000.93,1044.77,1024.16,981.16,922.47,944.92,954.06,826.28,1079.12,1031.46,1034.26,842.45,993.11,831.21,921.69,1063.29,962.28,1128.75,816.64,1055.64,1189.45,1088.36,972.88,1065.6,1141.6,1252.56,874.95,1155.51,1053.07,1034.46,1097.89,1095.93,1013.85,1026.64,1072.12,1242.72,1120.96,1113.82,1037.27,909.99,928.99,1282.26,1011.52
CONTROL,59.6,1067.71,983.13,1220.69,927.06,997.7,1107.66,868.39,875.35,1078.24,1105.8,969.69,881.59,1007.84,929.05,1027.97,1220.22,933.84,1012.71,1010.24,719.77,857.91,986.85,1006.84,1215.28,1192.16,974.94,948.91,1077.61,1077.13,1073.22,1025.06,994.05,893.73,1152.77,801.95,1147.33,919.29,952.32,1201.11,935.98,1005.1,924.94,1031.73,1016.88,955.77,1030.04,1007.44,1170.18,840.84,1101.01,1089.37,1002.89,1142.57,1157.58,1075.15,1060.04,948.36,1029.17,1005.65,1061.73,945.24,899.78,941.75,1005.04,845.0,1045.1,988.13,1030.34,837.33,967.2,821.11,949.63,1100.02,955.87,1147.72,836.1,1043.82,1166.19,1095.21,971.41,1062.8,1140.67,1219.07,842.26,1154.95,1122.35,1015.6,1056.56,1061.38,1041.78,1002.45,1090.35,1224.04,1131.79,1186.35,1058.39,867.64,964.91,1233.95,1037.54
CONTROL,59.7,1049.28,1010.51,1225.13,969.95,975.68,1092.34,883.29,888.4,1044.88,1157.37,902.39,907.24,1020.53,895.48,1049.62,1208.01,933.65,967.24,947.16,722.79,856.13,1028.03,1026.9,1265.95,1202.14,985.26,1023.18,1054.43,1056.11,1050.09,1052.61,960.62,887.66,1197.73,746.12,1130.22,934.47,1013.9,1195.54,941.48,1046.99,913.56,1060.87,986.29,918.79,1072.81,1087.9,1234.18,927.36,1100.44,1067.59,956.47,1175.87,1178.41,1087.77,1064.79,964.59,1010.21,1001.57,1028.84,935.97,922.36,946.86,1003.0,804.92,1123.73,977.75,1080.69,875.51,1006.2,823.18,983.7,1067.86,905.94,1137.91,818.55,1009.89,1189.84,1111.66,923.27,1039.94,1102.3,1225.64,840.79,1118.1,1063.76,1045.24,1065.7,1025.71,1020.26,1049.75,1050.38,1258.63,1118.93,1152.49,1017.62,896.26,917.77,1225.5,1010.17
CONTROL,59.8,1008.54,966.95,1227.46,978.05,977.55,1109.12,873.86,863.88,1088.39,1152.52,912.14,911.32,1001.09,947.15,1060.31,1208.51,940.3,972.28,981.95,695.9,865.45,1028.93,1040.1,1238.33,1149.01,999.75,977.19,1076.51,1040.87,1027.09,1014.14,986.82,890.0,1184.85,803.59,1157.65,945.39,960.43,1181.97,947.5,1013.19,925.8,1045.12,1003.31,930.67,1074.41,1089.29,1253.47,921.95,1054.63,1073.18,948.3,1195.93,1131.3,1039.4,1041.94,948.27,1035.34,1002.53,1003.73,953.96,922.78,957.73,987.83,845.37,1063.96,996.97,1087.67,868.47,963.87,824.87,943.36,1036.01,913.87,1101.07,801.75,1072.21,1193.87,1066.46,942.79,1067.8,1111.54,1226.02,886.79,1139.08,1072.21,1015.84,1083.13,1055.68,1014.68,995.17,1074.85,1197.45,1089.92,1141.85,1070.87,858.97,892.2,1223.69,1027.45
CONTROL,59.9,1023.67,971.09,1284.54,957.19,1010.25,1102.15,872.14,876.96,1053.78,1158.36,970.78,880.71,967.24,948.64,1036.69,1210.02,906.79,977.77,985.58,720.58,887.63,1043.89,1034.77,1194.18,1138.03,1007.67,952.29,1021.2,1020.29,1067.83,1067.65,952.3,928.36,1180.03,802.84,1119.32,939.29,956.83,1231.62,930.73,1005.2,905.85,1033.72,984.52,956.14,1066.68,1074.37,1193.52,873.33,1355.69,1088.91,976.69,1162.39,1177.42,1082.03,1016.94,960.91,1015.14,1027.29,1043.76,953.77,911.69,940.6,1143.06,862.42,1024.9,998.12,1035.87,895.84,990.94,796.76,908.44,1082.56,925.74,1117.99,826.73,1064.36,1186.03,1090.49,931.21,1082.3,1113.75,1221.36,868.73,1120.1,1089.83,1071.38,1088.68,1057.78,1052.44,1006.77,1058.25,1247.52,1081.46,1125.84,1085.25,888.73,908.25,1271.29,1041.12
CONTROL,60.0,1056.16,1002.11,1225.94,986.34,996.58,1099.93,886.66,869.98,1070.6,1148.65,950.39,838.0,982.88,912.88,1043.23,1272.23,947.05,985.75,978.32,721.2,819.57,1025.53,1003.43,1202.65,1170.76,997.83,988.22,1045.0,1051.28,1040.13,1053.13,977.43,902.01,1200.21,758.89,1132.89,940.69,969.82,1174.25,900.86,1020.9,886.64,1016.23,1008.37,938.48,1075.47,1111.59,1206.88,898.04,1399.5,1073.99,961.5,1119.51,1092.03,1101.3,1007.13,969.87,1001.45,984.34,1041.28,949.97,878.49,927.27,1134.33,827.77,1095.68,984.8,1022.05,856.55,965.2,800.91,960.39,1071.62,944.78,1091.4,818.74,1059.77,1168.84,1145.5,962.02,1075.47,1122.86,1224.82,868.91,1161.84,1088.66,1015.19,1086.16,1010.33,1021.23,1002.03,1022.38,1252.88,1095.26,1118.29,1072.53,856.92,956.54,1237.74,1008.37
CONTROL,60.1,1080.96,968.66,1266.6,985.29,949.04,1076.84,847.04,872.74,1074.36,1135.5,949.68,916.57,1012.8,899.16,1055.1,1214.02,970.4,939.06,1006.64,708.76,872.6,1035.68,1042.05,1206.35,1182.87,1022.96,972.8,1028.35,1075.66,1005.5,1074.33,992.87,869.12,1126.02,778.97,1127.81,925.23,954.36,1213.66,931.95,1020.2,934.25,1072.12,976.96,941.99,1054.01,1093.76,1208.2,929.25,1351.13,1079.55,962.78,1200.59,1135.77,1090.07,1028.26,963.7,1025.24,995.32,1028.6,932.31,869.52,933.2,1120.73,822.37,1063.08,988.62,1065.02,883.46,976.99,782.19,960.3,1090.04,926.64,1131.01,814.92,1055.27,1192.89,1081.07,936.42,1055.18,1106.08,1272.97,840.32,1155.49,1048.63,994.27,1073.49,1032.52,1024.21,1013.58,1099.02,1276.7,1123.27,1132.33,1049.31,881.0,937.47,1255.94,1061.5
CONTROL,60.2,1049.52,1028.38,1257.66,969.58,973.59,1076.46,874.31,851.97,1070.74,1196.57,945.48,921.62,1024.48,949.88,1054.69,1222.84,932.59,1004.93,958.31,689.59,870.11,997.53,1015.16,1167.19,1175.7,1010.1,981.79,1011.3,1100.64,1004.13,1058.84,980.7,911.79,1182.63,786.34,1088.58,955.25,940.4,1216.9,951.82,1009.19,946.48,1081.44,977.68,945.36,1059.85,1083.45,1216.43,920.92,1384.2,1054.07,985.23,1158.25,1165.71,1076.37,999.0,937.22,1038.18,942.17,1036.21,966.29,893.14,946.12,1111.3,820.38,1050.03,967.56,1067.84,848.77,982.97,820.22,974.16,1101.51,920.23,1128.89,850.54,1036.7,1227.44,1074.86,956.5,1081.13,1130.64,1253.7,856.77,1136.35,1065.37,1012.51,1056.03,1032.26,1033.39,1039.16,1052.25,1262.69,1117.93,1154.13,1059.65,870.98,922.54,1276.53,999.7
CONTROL,60.3,1047.94,994.67,1216.25,925.19,990.08,1086.48,877.35,868.26,1050.13,1102.02,927.18,919.42,1015.84,919.2,1001.31,1225.86,915.92,992.79,1005.43,714.31,889.25,1034.2,1045.11,1127.47,1219.26,1001.2,975.29,1012.29,1079.5,1014.81,1092.74,983.89,871.01,1134.14,800.23,1132.01,955.9,980.03,1222.05,945.56,1032.58,913.49,1036.73,955.41,964.6,1078.3,1058.76,1221.56,895.86,1346.38,1066.43,982.27,1209.18,1177.47,1058.88,1026.91,928.76,1035.32,1006.49,1037.05,976.08,900.86,924.7,1146.89,815.27,1113.82,993.9,1086.69,856.6,945.09,805.26,977.12,1082.5,957.99,1081.77,807.12,1067.86,1151.2,1096.35,956.28,1044.65,1088.42,1242.91,845.33,1177.5,1098.79,1000.02,1044.78,1027.19,1025.36,1017.53,1097.7,1199.87,1129.89,1209.66,1072.61,839.88,916.39,1239.05,1055.61
CONTROL,60.4,1080.23,1004.91,1248.71,955.77,969.04,1065.09,861.49,834.56,1074.15,1147.69,893.01,939.9,1015.46,946.02,1040.36,1199.37,958.29,962.47,1008.78,720.59,878.85,1054.46,1012.14,1157.55,1155.19,958.28,948.97,1072.47,1065.36,999.14,1053.6,981.34,898.32,1165.32,780.81,1148.58,942.29,940.47,1196.81,946.65,997.7,926.5,1059.65,971.67,924.4,1097.21,1052.52,1194.97,928.36,1339.9,1074.68,979.95,1142.25,1163.39,1080.41,998.54,977.43,1023.75,1026.17,1029.23,970.8,941.72,931.87,1114.84,857.87,1074.26,956.35,1042.66,856.72,994.95,828.97,942.97,1093.8,939.45,1107.31,812.58,1052.41,1149.67,1078.96,899.46,1068.08,1108.66,1236.07,847.83,1129.82,1089.35,1014.83,1110.81,1019.52,1052.3,1018.88,1054.93,1199.09,1053.45,1167.15,1046.01,881.68,921.32,1278.64,1038.22
CONTROL,60.5,1041.0,1005.37,1271.64,987.69,960.7,1078.52,837.25,867.17,1053.93,1122.51,944.71,929.77,1010.06,926.11,1029.64,1199.58,971.7,989.83,1001.28,705.8,858.45,1043.9,1034.68,1127.0,1170.42,994.12,966.3,1069.2,1094.95,984.73,1063.68,961.53,934.86,1159.5,809.43,1088.33,914.13,997.86,1194.91,940.81,1021.42,894.46,1031.73,988.59,932.36,1058.29,1120.58,1245.5,885.25,1316.91,1074.19,994.43,1215.77,1151.18,1061.29,992.29,949.47,970.84,1028.2,1035.83,937.07,903.07,940.03,1076.51,841.59,1063.02,989.98,1063.97,872.36,1003.24,789.94,956.85,1069.66,936.1,1125.12,816.15,1068.43,1133.44,1076.33,897.36,1061.2,1141.52,1229.29,859.21,1131.87,1112.04,1030.37,1066.12,1059.43,1045.38,984.05,1059.57,1268.15,1097.8,1150.74,1074.84,880.17,919.16,1252.3,1004.29
CONTROL,60.6,1035.03,978.01,1254.82,950.73,968.29,1085.62,858.32,844.62,1068.29,1134.9,927.35,921.51,980.12,928.49,1075.1,1224.58,906.19,988.5,985.06,710.92,861.59,1016.65,1036.32,1148.41,1144.53,1017.88,942.78,1027.66,1086.34,973.75,1038.78,976.67,889.28,1151.78,788.35,1132.45,910.73,947.68,1168.5,931.1,1034.29,935.99,1031.63,970.57,937.09,1068.79,1082.62,1213.82,904.12,1277.2,1077.17,968.74,1146.71,1154.63,1108.02,1044.91,940.74,993.25,1010.32,1011.61,942.71,926.97,939.18,1092.92,827.16,1051.17,943.9,1071.76,866.9,1004.24,825.51,945.2,1081.73,960.03,1122.74,816.64,1047.74,1178.05,1108.07,970.96,1031.16,1165.45,1182.41,846.99,1132.15,1086.68,1049.63,1100.27,1036.03,996.38,1048.61,1039.29,1210.04,1113.82,1155.58,1073.89,863.56,947.54,1291.2,1025.31
CONTROL,60.7,1012.03,985.59,1244.27,976.91,969.29,1114.24,877.63,894.77,1042.46,1153.43,935.68,890.49,957.72,940.8,1073.8,1224.47,945.83,942.89,977.89,700.12,861.98,1071.08,1035.38,1130.13,1201.56,956.85,957.92,1076.91,1085.2,1017.3,1060.06,978.16,861.14,1174.16,784.83,1119.96,926.27,969.03,1188.56,971.03,1020.5,912.77,1007.95,980.98,947.74,1072.27,1085.6,1217.8,954.24,1248.26,1080.0,980.89,1217.4,1155.69,1083.21,995.59,942.26,970.15,987.46,1018.26,933.28,885.95,952.44,1087.33,818.22,1059.19,977.26,1071.55,851.47,1004.43,803.92,933.8,1083.47,914.32,1123.29,835.06,1043.61,1159.65,1121.96,960.78,1055.38,1133.73,1235.49,818.84,1149.97,1113.32,1033.36,1123.43,1037.67,1082.54,998.06,1101.78,1213.42,1078.05,1175.29,1082.16,888.02,918.94,1229.66,1020.87
CONTROL,60.8,1030.78,993.85,1265.17,972.56,973.14,1092.34,884.58,880.76,1089.19,1135.34,901.15,913.36,999.75,966.44,1039.15,1224.6,940.4,989.66,984.85,718.28,869.84,1037.72,1021.23,1133.58,1199.55,994.81,996.47,1053.99,1077.85,962.7,1059.58,981.66,870.66,1183.65,784.4,1111.3,938.43,976.36,1200.21,922.63,1015.37,927.54,1088.88,987.4,948.73,1074.37,1051.97,1216.47,926.78,1267.48,1085.8,989.55,1170.94,1197.13,1103.36,1058.66,959.78,1007.66,996.0,1092.06,942.04,876.72,925.96,1033.79,815.78,1074.66,986.8,1052.6,881.62,977.72,821.17,948.52,1105.13,952.17,1092.71,797.02,1086.5,1210.86,1131.52,956.24,999.91,1118.16,1398.37,870.43,1110.87,1069.07,996.51,1106.88,1007.51,1058.17,961.64,1070.77,1191.39,1131.97,1174.45,1067.94,846.69,918.32,1254.02,1012.1
